date,module,title,lecturer,summary,page_link
2025-02-20T00:00:00Z,1,[Welcome & get ready for the course](https://rbtl-fs25.github.io/website/modules/md-01.html),E. Tilley and L. Schöbitz,NA,https://rbtl-fs25.github.io/website/modules/md-01.html
2025-02-27T00:00:00Z,2,[Data science lifecycle & Exploratory data analysis using visualization](https://rbtl-fs25.github.io/website/modules/md-02.html),L. Schöbitz,NA,https://rbtl-fs25.github.io/website/modules/md-02.html
2025-03-06T00:00:00Z,3,[Data transformation with dplyr](https://rbtl-fs25.github.io/website/modules/md-03.html),L. Schöbitz,NA,https://rbtl-fs25.github.io/website/modules/md-03.html
2025-03-13T00:00:00Z,4,[Data import & Data organization in spreadsheets](https://rbtl-fs25.github.io/website/modules/md-04.html),L. Schöbitz,NA,https://rbtl-fs25.github.io/website/modules/md-04.html
2025-03-20T00:00:00Z,5,[Conditions & Dates & Tables](https://rbtl-fs25.github.io/website/modules/md-05.html),L. Schöbitz,NA,https://rbtl-fs25.github.io/website/modules/md-05.html
2025-03-27T00:00:00Z,6,[Data types & Vectors & Pivoting](https://rbtl-fs25.github.io/website/modules/md-06.html),L. Schöbitz,NA,https://rbtl-fs25.github.io/website/modules/md-06.html
2025-04-03T00:00:00Z,7,[Joining tables & Creating and publishing scholarly articles with Quarto and GitHub pages](https://rbtl-fs25.github.io/website/modules/md-07.html),L. Schöbitz,NA,https://rbtl-fs25.github.io/website/modules/md-07.html
2025-04-10T00:00:00Z,8,[Waste Research](https://rbtl-fs25.github.io/website/modules/md-08.html),E. Tilley,NA,https://rbtl-fs25.github.io/website/modules/md-08.html
2025-04-17T00:00:00Z,9,[Research Design](https://rbtl-fs25.github.io/website/modules/md-09.html),E. Tilley,NA,https://rbtl-fs25.github.io/website/modules/md-09.html
2025-04-24T00:00:00Z,NA,Easter Break,NA,NA,NA
2025-05-01T00:00:00Z,NA,Labour Day Break,NA,NA,NA
2025-05-08T00:00:00Z,10,[Questionnaires](https://rbtl-fs25.github.io/website/modules/md-10.html),E. Tilley,NA,https://rbtl-fs25.github.io/website/modules/md-10.html
2025-05-15T00:00:00Z,11,[Pre-test and logistics](https://rbtl-fs25.github.io/website/modules/md-11.html),E. Tilley,NA,https://rbtl-fs25.github.io/website/modules/md-11.html
2025-05-22T00:00:00Z,12,[Data collection](https://rbtl-fs25.github.io/website/modules/md-12.html),E. Tilley and L. Schöbitz,NA,https://rbtl-fs25.github.io/website/modules/md-12.html
2025-05-29T00:00:00Z,NA,Data analysis & report writing,NA,NA,NA
2025-06-05T00:00:00Z,NA,Project submission due date,NA,NA,NA
2025-06-11T00:00:00Z,NA,Exam (13:00 to 15:00),NA,NA,NA
